danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.502,0.855,4,-3.27,0,0.0305,0.152,0.000488,0.106,0.337,86.968,audio_features,1euDTbMNRPNfKd8zZz4zTT,spotify:track:1euDTbMNRPNfKd8zZz4zTT,https://api.spotify.com/v1/tracks/1euDTbMNRPNfKd8zZz4zTT,https://api.spotify.com/v1/audio-analysis/1euDTbMNRPNfKd8zZz4zTT,328627,4,Give In to Me,Michael Jackson
0.348,0.432,8,-9.553,1,0.0388,0.819,0.0856,0.191,0.141,82.911,audio_features,1igW25R8lnb5ze9GWbuVsl,spotify:track:1igW25R8lnb5ze9GWbuVsl,https://api.spotify.com/v1/tracks/1igW25R8lnb5ze9GWbuVsl,https://api.spotify.com/v1/audio-analysis/1igW25R8lnb5ze9GWbuVsl,460000,4,Will You Be There,"Michael Jackson,Cleveland Orchestra"
0.268,0.186,11,-12.736,1,0.0338,0.89,0.00271,0.097,0.118,69.361,audio_features,66mXHPRfAwbnNKnTCNpytj,spotify:track:66mXHPRfAwbnNKnTCNpytj,https://api.spotify.com/v1/tracks/66mXHPRfAwbnNKnTCNpytj,https://api.spotify.com/v1/audio-analysis/66mXHPRfAwbnNKnTCNpytj,201733,3,Gone Too Soon,Michael Jackson
0.802,0.468,1,-8.629,1,0.0378,0.248,0.000601,0.32,0.586,129.937,audio_features,64KrFHj9p5AyCX2yZQr4YJ,spotify:track:64KrFHj9p5AyCX2yZQr4YJ,https://api.spotify.com/v1/tracks/64KrFHj9p5AyCX2yZQr4YJ,https://api.spotify.com/v1/audio-analysis/64KrFHj9p5AyCX2yZQr4YJ,343960,4,Stranger in Moscow,Michael Jackson
0.501,0.439,3,-7.521,0,0.0313,0.482,0.000117,0.087,0.145,138.377,audio_features,4GCGH6TJ69neckwITeBFXK,spotify:track:4GCGH6TJ69neckwITeBFXK,https://api.spotify.com/v1/tracks/4GCGH6TJ69neckwITeBFXK,https://api.spotify.com/v1/audio-analysis/4GCGH6TJ69neckwITeBFXK,406040,4,Earth Song,Michael Jackson
0.807,0.741,1,-4.472,1,0.083,0.0135,0.0316,0.06,0.558,108.989,audio_features,11lw4bWbmxWIETHitBU0Gc,spotify:track:11lw4bWbmxWIETHitBU0Gc,https://api.spotify.com/v1/tracks/11lw4bWbmxWIETHitBU0Gc,https://api.spotify.com/v1/audio-analysis/11lw4bWbmxWIETHitBU0Gc,253000,4,Blood on the Dance Floor,Michael Jackson
0.708,0.655,8,-2.69,1,0.0883,0.0583,2.1e-06,0.11,0.545,89.99,audio_features,0rT9f5BSZrZ6DvzfBEckG0,spotify:track:0rT9f5BSZrZ6DvzfBEckG0,https://api.spotify.com/v1/tracks/0rT9f5BSZrZ6DvzfBEckG0,https://api.spotify.com/v1/audio-analysis/0rT9f5BSZrZ6DvzfBEckG0,279160,4,Butterflies,Michael Jackson
0.636,0.648,10,-5.716,1,0.033,0.604,0.000148,0.072,0.56,96.883,audio_features,5XaOvJcyNBNXRohL3eB9dL,spotify:track:5XaOvJcyNBNXRohL3eB9dL,https://api.spotify.com/v1/tracks/5XaOvJcyNBNXRohL3eB9dL,https://api.spotify.com/v1/audio-analysis/5XaOvJcyNBNXRohL3eB9dL,216787,4,This Is It,Michael Jackson
0.606,0.72,1,-5.842,1,0.0374,0.191,0.0,0.108,0.381,90.017,audio_features,0pCyoA5o2uxUwIovECCziF,spotify:track:0pCyoA5o2uxUwIovECCziF,https://api.spotify.com/v1/tracks/0pCyoA5o2uxUwIovECCziF,https://api.spotify.com/v1/audio-analysis/0pCyoA5o2uxUwIovECCziF,212227,4,Hold My Hand (with Akon),"Michael Jackson,Akon"
0.538,0.698,11,-4.282,0,0.305,0.0103,3.45e-06,0.134,0.424,118.752,audio_features,35SI5zFEhOeo4XDBMwS41S,spotify:track:35SI5zFEhOeo4XDBMwS41S,https://api.spotify.com/v1/tracks/35SI5zFEhOeo4XDBMwS41S,https://api.spotify.com/v1/audio-analysis/35SI5zFEhOeo4XDBMwS41S,335147,4,A Place With No Name,Michael Jackson
