danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.49,0.8,4,-6.118,0,0.0298,0.446,0.0,0.139,0.203,108.435,audio_features,1zs5jBlcacxuzXmYtKVA2O,spotify:track:1zs5jBlcacxuzXmYtKVA2O,https://api.spotify.com/v1/tracks/1zs5jBlcacxuzXmYtKVA2O,https://api.spotify.com/v1/audio-analysis/1zs5jBlcacxuzXmYtKVA2O,211787,4,Knots,Lisa Hannigan
0.494,0.47,0,-7.413,1,0.0313,0.739,0.0,0.0774,0.166,134.334,audio_features,2hRBqxdkYuFySfyEkcsPOp,spotify:track:2hRBqxdkYuFySfyEkcsPOp,https://api.spotify.com/v1/tracks/2hRBqxdkYuFySfyEkcsPOp,https://api.spotify.com/v1/audio-analysis/2hRBqxdkYuFySfyEkcsPOp,277613,4,Messengers,Jared & The Mill
0.65,0.377,6,-12.626,1,0.0275,0.807,0.0487,0.11,0.288,129.028,audio_features,3jDF66ZATb0FcHNnOqeyDK,spotify:track:3jDF66ZATb0FcHNnOqeyDK,https://api.spotify.com/v1/tracks/3jDF66ZATb0FcHNnOqeyDK,https://api.spotify.com/v1/audio-analysis/3jDF66ZATb0FcHNnOqeyDK,195735,4,Boardwalks,Little May
0.641,0.812,0,-7.945,0,0.0293,0.155,4.43e-05,0.078,0.822,112.777,audio_features,1YwNlWLf8auhazSQUDQLFU,spotify:track:1YwNlWLf8auhazSQUDQLFU,https://api.spotify.com/v1/tracks/1YwNlWLf8auhazSQUDQLFU,https://api.spotify.com/v1/audio-analysis/1YwNlWLf8auhazSQUDQLFU,257333,4,Enjoy the Silence - Single Mix,"Depeche Mode,Daniel Miller,Phil Legg"
0.538,0.711,2,-9.748,0,0.0287,0.111,5.53e-06,0.237,0.502,93.08,audio_features,2Y7ndoyiIm0IaFJa13gV3H,spotify:track:2Y7ndoyiIm0IaFJa13gV3H,https://api.spotify.com/v1/tracks/2Y7ndoyiIm0IaFJa13gV3H,https://api.spotify.com/v1/audio-analysis/2Y7ndoyiIm0IaFJa13gV3H,326107,4,Walking in My Shoes,Depeche Mode
0.678,0.657,8,-7.3,1,0.028,0.00933,0.225,0.118,0.358,114.209,audio_features,0C6EIiQu8CS4eYtOCMEiAd,spotify:track:0C6EIiQu8CS4eYtOCMEiAd,https://api.spotify.com/v1/tracks/0C6EIiQu8CS4eYtOCMEiAd,https://api.spotify.com/v1/audio-analysis/0C6EIiQu8CS4eYtOCMEiAd,294040,4,Policy of Truth - 2006 Remaster,Depeche Mode
0.573,0.936,0,-4.195,1,0.0321,0.294,0.0327,0.116,0.784,106.103,audio_features,4pLWKQTxzR0kFoDeDAJvVk,spotify:track:4pLWKQTxzR0kFoDeDAJvVk,https://api.spotify.com/v1/tracks/4pLWKQTxzR0kFoDeDAJvVk,https://api.spotify.com/v1/audio-analysis/4pLWKQTxzR0kFoDeDAJvVk,262000,4,Never Let Me Down Again - Tsangarides Mix,Depeche Mode
0.568,0.837,1,-6.138,1,0.0266,0.09,0.0587,0.0994,0.853,104.988,audio_features,3c4bJL7mARZvd387847GsC,spotify:track:3c4bJL7mARZvd387847GsC,https://api.spotify.com/v1/tracks/3c4bJL7mARZvd387847GsC,https://api.spotify.com/v1/audio-analysis/3c4bJL7mARZvd387847GsC,245867,4,Precious,"Depeche Mode,Steve Fitzmaurice"
0.601,0.756,10,-6.48,0,0.0348,0.00861,0.0416,0.0821,0.185,99.078,audio_features,04ARYAWkGZZhDbHqgvnYGf,spotify:track:04ARYAWkGZZhDbHqgvnYGf,https://api.spotify.com/v1/tracks/04ARYAWkGZZhDbHqgvnYGf,https://api.spotify.com/v1/audio-analysis/04ARYAWkGZZhDbHqgvnYGf,358520,4,It's No Good - 2007 Remaster,Depeche Mode
0.599,0.719,0,-12.57,1,0.0288,0.278,0.0486,0.693,0.785,106.081,audio_features,0ooy3NjwsJreceWYCxlfQt,spotify:track:0ooy3NjwsJreceWYCxlfQt,https://api.spotify.com/v1/tracks/0ooy3NjwsJreceWYCxlfQt,https://api.spotify.com/v1/audio-analysis/0ooy3NjwsJreceWYCxlfQt,288000,4,Never Let Me Down Again,Depeche Mode
0.634,0.802,9,-6.214,0,0.0256,0.0688,3.73e-06,0.144,0.658,113.623,audio_features,3HbA5x1laxQ2y3dvfFD22R,spotify:track:3HbA5x1laxQ2y3dvfFD22R,https://api.spotify.com/v1/tracks/3HbA5x1laxQ2y3dvfFD22R,https://api.spotify.com/v1/audio-analysis/3HbA5x1laxQ2y3dvfFD22R,239547,4,Everything Counts,Depeche Mode
0.618,0.373,2,-18.621,0,0.0296,0.443,0.00599,0.0995,0.649,117.038,audio_features,7L2iZa0yNoW8DSwCs2OAw3,spotify:track:7L2iZa0yNoW8DSwCs2OAw3,https://api.spotify.com/v1/tracks/7L2iZa0yNoW8DSwCs2OAw3,https://api.spotify.com/v1/audio-analysis/7L2iZa0yNoW8DSwCs2OAw3,285400,4,Shake the Disease,Depeche Mode
0.516,0.69,4,-8.483,1,0.0261,0.194,2.36e-06,0.191,0.446,93.742,audio_features,6viN52P1LEyGybKRIYljCo,spotify:track:6viN52P1LEyGybKRIYljCo,https://api.spotify.com/v1/tracks/6viN52P1LEyGybKRIYljCo,https://api.spotify.com/v1/audio-analysis/6viN52P1LEyGybKRIYljCo,263147,4,A Question of Lust,Depeche Mode
