artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Stevie B,5TKctZYZyP0jr866wlM3UC,Bring It Back,0.126,0.7759999999999999,245500,0.8809999999999999,0.0007019999999999,1,0.0755,-6.945,1,0.0339,126.994,4,0.856,2
SGLA,2qhHEW7pBNSzqCTweVN3x9,The Love of God,0.0837,0.467,291427,0.6920000000000001,8.87e-06,0,0.0895,-5.76,1,0.0278,145.982,4,0.211,17
Sirol,07rV9Nb7a8gyFms2RIMg4c,Cercasi Producer,0.0296,0.675,200707,0.856,0.0,5,0.0629,-5.87,0,0.211,116.061,4,0.593,0
Summer Walker,634k3ShUjnP4vap7gJnnNN,I'm There,0.436,0.67,114587,0.475,0.125,9,0.1169999999999999,-10.684,0,0.392,134.939,4,0.466,48
Imaginary Future,7i9CoByh3zOlfPJeWIbZMw,Some Nameless Days,0.848,0.501,181732,0.3229999999999999,0.000126,5,0.157,-9.256,1,0.0291,141.179,4,0.288,36
Ultimo,6GLmGfALwjzCaOiHwgfU7g,Ti dedico il silenzio,0.175,0.6609999999999999,234250,0.4429999999999999,0.0,8,0.177,-9.303,1,0.0688,80.0,4,0.147,71
SUHO,4I48kLVde5Rwvw8MyloC4A,Dinner,0.518,0.62,204216,0.63,0.027,1,0.335,-7.192,1,0.119,109.992,4,0.265,50
Dragondeer,07H5BQDDezcUzkDevzskQQ,Easy With Me,0.0368,0.469,236580,0.705,0.0,11,0.352,-6.627000000000001,0,0.0476,113.55,4,0.828,7
Mija,1qEev0Z9XZRU04XLlOPL5q,Notice Me,0.123,0.496,193472,0.5,0.248,5,0.126,-8.663,1,0.0301,90.052,4,0.2,24
Doe Boy,0ax9hwtccPVtqE1pO7TwDX,Easy,0.589,0.626,172920,0.48,0.0,7,0.573,-8.065,0,0.256,159.881,4,0.382,15
